2025-06-23 02:15:32.770 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:32.784 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:34.419 [http-nio-8080-exec-3] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:15:34.424 [http-nio-8080-exec-3] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:15:34.436 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:15:34.439 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:15:34.449 [http-nio-8080-exec-10] INFO  c.c.controller.api.admin.AdminUserController - 管理员请求获取所有用户列表
2025-06-23 02:15:34.481 [http-nio-8080-exec-10] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:15:36.016 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.054 [http-nio-8080-exec-1] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:15:36.058 [http-nio-8080-exec-1] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:15:36.063 [http-nio-8080-exec-6] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:15:36.073 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.070 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.082 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:15:36.085 [http-nio-8080-exec-6] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:15:36.122 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:15:36.123 [http-nio-8080-exec-9] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:15:36.169 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:15:36.173 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:15:36.171 [http-nio-8080-exec-9] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:15:36.184 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:15:36.223 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
